,date,close_price,instrument_name,instrument_isin
0,2017-12-29,104.23,Von Fd PenInYd -A-,CH0281016474
1,2018-12-31,99.39,Von Fd PenInYd -A-,CH0281016474
2,2019-12-31,107.29,Von Fd PenInYd -A-,CH0281016474
3,2020-12-31,108.07,Von Fd PenInYd -A-,CH0281016474
4,2021-12-31,111.38,Von Fd PenInYd -A-,CH0281016474
5,2022-12-31,93.49,Von Fd PenInYd -A-,CH0281016474
6,2023-12-31,95.68,Von Fd PenInYd -A-,CH0281016474
7,2017-05-08,103.27,VON FD PENINBAL -A-,CH0281017506
8,2017-05-09,103.72,VON FD PENINBAL -A-,CH0281017506
9,2017-05-10,103.83,VON FD PENINBAL -A-,CH0281017506
10,2017-05-11,103.7,VON FD PENINBAL -A-,CH0281017506
11,2017-05-12,103.95,VON FD PENINBAL -A-,CH0281017506
12,2017-05-15,103.84,VON FD PENINBAL -A-,CH0281017506
13,2017-05-16,103.78,VON FD PENINBAL -A-,CH0281017506
14,2017-05-17,102.9,VON FD PENINBAL -A-,CH0281017506
15,2017-05-18,102.65,VON FD PENINBAL -A-,CH0281017506
16,2017-05-19,102.83,VON FD PENINBAL -A-,CH0281017506
17,2017-05-22,103.03,VON FD PENINBAL -A-,CH0281017506
18,2017-05-23,103.13,VON FD PENINBAL -A-,CH0281017506
19,2017-05-24,103.28,VON FD PENINBAL -A-,CH0281017506
20,2017-05-26,103.27,VON FD PENINBAL -A-,CH0281017506
21,2017-05-29,103.41,VON FD PENINBAL -A-,CH0281017506
22,2017-05-30,103.24,VON FD PENINBAL -A-,CH0281017506
23,2017-05-31,103.02,VON FD PENINBAL -A-,CH0281017506
24,2017-06-01,103.15,VON FD PENINBAL -A-,CH0281017506
25,2017-06-02,103.28,VON FD PENINBAL -A-,CH0281017506
26,2017-06-06,102.73,VON FD PENINBAL -A-,CH0281017506
27,2017-06-07,102.65,VON FD PENINBAL -A-,CH0281017506
28,2017-06-08,102.7,VON FD PENINBAL -A-,CH0281017506
29,2017-06-09,102.93,VON FD PENINBAL -A-,CH0281017506
30,2017-06-12,102.58,VON FD PENINBAL -A-,CH0281017506
31,2017-06-13,102.8,VON FD PENINBAL -A-,CH0281017506
32,2017-06-14,102.88,VON FD PENINBAL -A-,CH0281017506
33,2017-06-15,102.74,VON FD PENINBAL -A-,CH0281017506
34,2017-06-16,103.0,VON FD PENINBAL -A-,CH0281017506
35,2017-06-19,103.41,VON FD PENINBAL -A-,CH0281017506
36,2017-06-20,103.29,VON FD PENINBAL -A-,CH0281017506
37,2017-06-21,103.25,VON FD PENINBAL -A-,CH0281017506
38,2017-06-22,103.45,VON FD PENINBAL -A-,CH0281017506
39,2017-06-23,103.31,VON FD PENINBAL -A-,CH0281017506
40,2017-06-26,103.39,VON FD PENINBAL -A-,CH0281017506
41,2017-06-27,102.98,VON FD PENINBAL -A-,CH0281017506
42,2017-06-28,102.77,VON FD PENINBAL -A-,CH0281017506
43,2017-06-29,102.1,VON FD PENINBAL -A-,CH0281017506
44,2017-06-30,102.03,VON FD PENINBAL -A-,CH0281017506
45,2017-07-03,102.53,VON FD PENINBAL -A-,CH0281017506
46,2017-07-04,102.46,VON FD PENINBAL -A-,CH0281017506
47,2017-07-05,102.56,VON FD PENINBAL -A-,CH0281017506
48,2017-07-06,102.07,VON FD PENINBAL -A-,CH0281017506
49,2017-07-07,102.24,VON FD PENINBAL -A-,CH0281017506
50,2017-07-10,102.45,VON FD PENINBAL -A-,CH0281017506
51,2017-07-11,102.28,VON FD PENINBAL -A-,CH0281017506
52,2017-07-12,102.89,VON FD PENINBAL -A-,CH0281017506
53,2017-07-13,102.96,VON FD PENINBAL -A-,CH0281017506
54,2017-07-14,103.13,VON FD PENINBAL -A-,CH0281017506
55,2017-07-17,103.22,VON FD PENINBAL -A-,CH0281017506
56,2017-07-18,102.9,VON FD PENINBAL -A-,CH0281017506
57,2017-07-19,103.12,VON FD PENINBAL -A-,CH0281017506
58,2017-07-20,103.12,VON FD PENINBAL -A-,CH0281017506
59,2017-07-21,102.73,VON FD PENINBAL -A-,CH0281017506
60,2017-07-24,102.5,VON FD PENINBAL -A-,CH0281017506
61,2017-07-25,102.65,VON FD PENINBAL -A-,CH0281017506
62,2017-07-26,103.17,VON FD PENINBAL -A-,CH0281017506
63,2017-07-27,103.42,VON FD PENINBAL -A-,CH0281017506
64,2017-07-28,103.55,VON FD PENINBAL -A-,CH0281017506
65,2017-07-31,103.58,VON FD PENINBAL -A-,CH0281017506
66,2017-08-02,104.1,VON FD PENINBAL -A-,CH0281017506
67,2017-08-03,104.18,VON FD PENINBAL -A-,CH0281017506
68,2017-08-04,104.32,VON FD PENINBAL -A-,CH0281017506
69,2017-08-07,104.39,VON FD PENINBAL -A-,CH0281017506
70,2017-08-08,104.46,VON FD PENINBAL -A-,CH0281017506
71,2017-08-09,103.87,VON FD PENINBAL -A-,CH0281017506
72,2017-08-10,103.34,VON FD PENINBAL -A-,CH0281017506
73,2017-08-11,103.12,VON FD PENINBAL -A-,CH0281017506
74,2017-08-14,103.7,VON FD PENINBAL -A-,CH0281017506
75,2017-08-15,103.61,VON FD PENINBAL -A-,CH0281017506
76,2017-08-16,103.9,VON FD PENINBAL -A-,CH0281017506
77,2017-08-17,103.55,VON FD PENINBAL -A-,CH0281017506
78,2017-08-18,103.21,VON FD PENINBAL -A-,CH0281017506
79,2017-08-21,103.14,VON FD PENINBAL -A-,CH0281017506
80,2017-08-22,103.75,VON FD PENINBAL -A-,CH0281017506
81,2017-08-23,103.71,VON FD PENINBAL -A-,CH0281017506
82,2017-08-24,103.67,VON FD PENINBAL -A-,CH0281017506
83,2017-08-25,103.47,VON FD PENINBAL -A-,CH0281017506
84,2017-08-28,103.22,VON FD PENINBAL -A-,CH0281017506
85,2017-08-29,102.81,VON FD PENINBAL -A-,CH0281017506
86,2017-08-30,103.3,VON FD PENINBAL -A-,CH0281017506
87,2017-08-31,103.82,VON FD PENINBAL -A-,CH0281017506
88,2017-09-01,103.96,VON FD PENINBAL -A-,CH0281017506
89,2017-09-04,103.6,VON FD PENINBAL -A-,CH0281017506
90,2017-09-05,103.58,VON FD PENINBAL -A-,CH0281017506
91,2017-09-06,103.45,VON FD PENINBAL -A-,CH0281017506
92,2017-09-07,103.77,VON FD PENINBAL -A-,CH0281017506
93,2017-09-08,103.72,VON FD PENINBAL -A-,CH0281017506
94,2017-09-11,104.17,VON FD PENINBAL -A-,CH0281017506
95,2017-09-12,104.6,VON FD PENINBAL -A-,CH0281017506
96,2017-09-13,104.69,VON FD PENINBAL -A-,CH0281017506
97,2017-09-14,104.81,VON FD PENINBAL -A-,CH0281017506
98,2017-09-15,104.45,VON FD PENINBAL -A-,CH0281017506
99,2017-09-18,104.54,VON FD PENINBAL -A-,CH0281017506
100,2017-09-19,104.82,VON FD PENINBAL -A-,CH0281017506
101,2017-09-20,104.81,VON FD PENINBAL -A-,CH0281017506
102,2017-09-21,105.07,VON FD PENINBAL -A-,CH0281017506
103,2017-09-22,105.01,VON FD PENINBAL -A-,CH0281017506
104,2017-09-25,104.91,VON FD PENINBAL -A-,CH0281017506
105,2017-09-26,104.54,VON FD PENINBAL -A-,CH0281017506
106,2017-09-27,104.54,VON FD PENINBAL -A-,CH0281017506
107,2017-09-28,104.68,VON FD PENINBAL -A-,CH0281017506
108,2017-09-29,104.79,VON FD PENINBAL -A-,CH0281017506
109,2017-10-02,105.2,VON FD PENINBAL -A-,CH0281017506
110,2017-10-03,105.4,VON FD PENINBAL -A-,CH0281017506
111,2017-10-04,105.52,VON FD PENINBAL -A-,CH0281017506
112,2017-10-05,105.59,VON FD PENINBAL -A-,CH0281017506
113,2017-10-06,105.48,VON FD PENINBAL -A-,CH0281017506
114,2017-10-09,105.61,VON FD PENINBAL -A-,CH0281017506
115,2017-10-10,105.54,VON FD PENINBAL -A-,CH0281017506
116,2017-10-11,105.53,VON FD PENINBAL -A-,CH0281017506
117,2017-10-12,105.7,VON FD PENINBAL -A-,CH0281017506
118,2017-10-13,105.84,VON FD PENINBAL -A-,CH0281017506
119,2017-10-16,105.76,VON FD PENINBAL -A-,CH0281017506
120,2017-10-17,105.86,VON FD PENINBAL -A-,CH0281017506
121,2017-10-18,105.91,VON FD PENINBAL -A-,CH0281017506
122,2017-10-19,105.57,VON FD PENINBAL -A-,CH0281017506
123,2017-10-20,105.58,VON FD PENINBAL -A-,CH0281017506
124,2017-10-23,105.78,VON FD PENINBAL -A-,CH0281017506
125,2017-10-24,105.65,VON FD PENINBAL -A-,CH0281017506
126,2017-10-25,105.42,VON FD PENINBAL -A-,CH0281017506
127,2017-10-26,105.98,VON FD PENINBAL -A-,CH0281017506
